table_name,field,empty_cells,total_rows,empty_rate,category,affected_experiments,reason,recommended_action
01_main_results_summary.csv,handcrafted_features,10,13,0.7692307692307693,not_applicable,A2-best;A4b-5;A4b-6;A4c-1-3;A6b;B1-best;B3b-main;B3b-optional,该实验没有启用手工特征。,保持空值或在展示时标为 NA。
01_main_results_summary.csv,val_far_error_rate_abs_ge_20_mean,2,13,0.15384615384615385,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
01_main_results_summary.csv,val_far_error_rate_abs_ge_20_std,2,13,0.15384615384615385,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
01_main_results_summary.csv,test_far_error_rate_abs_ge_20_mean,2,13,0.15384615384615385,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
01_main_results_summary.csv,test_far_error_rate_abs_ge_20_std,2,13,0.15384615384615385,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
02_run_level_results.csv,handcrafted_features,54,63,0.8571428571428571,not_applicable,A2-best;A4b-5;A4b-6;A4c-1-3;A6b;B1-best;B3b-main;B3b-optional,该实验没有启用手工特征。,保持空值或在展示时标为 NA。
02_run_level_results.csv,best_epoch,30,63,0.47619047619047616,not_applicable,A4b-5;A4b-6,A4b 是基于已有预测的 post-hoc fusion，不重新训练。,保持空值或在展示时标为 NA。
02_run_level_results.csv,stopped_epoch,30,63,0.47619047619047616,not_applicable,A4b-5;A4b-6,A4b 是基于已有预测的 post-hoc fusion，不重新训练。,保持空值或在展示时标为 NA。
02_run_level_results.csv,max_epochs,30,63,0.47619047619047616,not_applicable,A4b-5;A4b-6,A4b 是基于已有预测的 post-hoc fusion，不重新训练。,保持空值或在展示时标为 NA。
02_run_level_results.csv,early_stopped,30,63,0.47619047619047616,not_applicable,A4b-5;A4b-6,A4b 是基于已有预测的 post-hoc fusion，不重新训练。,保持空值或在展示时标为 NA。
02_run_level_results.csv,val_high_angle_macro_f1,6,63,0.09523809523809523,partially_recoverable,A4b-5;A4b-6,A4b 可从 by_class 派生 high-angle F1；若仍为空通常说明该行没有 by_class 对应项。,检查具体 strategy 是否在 by_class 中。
02_run_level_results.csv,val_far_error_rate_abs_ge_20,30,63,0.47619047619047616,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
02_run_level_results.csv,test_high_angle_macro_f1,6,63,0.09523809523809523,partially_recoverable,A4b-5;A4b-6,A4b 可从 by_class 派生 high-angle F1；若仍为空通常说明该行没有 by_class 对应项。,检查具体 strategy 是否在 by_class 中。
02_run_level_results.csv,test_far_error_rate_abs_ge_20,30,63,0.47619047619047616,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
04_error_structure.csv,val_far_error_rate_abs_ge_20_mean,2,13,0.15384615384615385,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
04_error_structure.csv,val_far_error_rate_abs_ge_20_std,2,13,0.15384615384615385,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
04_error_structure.csv,test_far_error_rate_abs_ge_20_mean,2,13,0.15384615384615385,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
04_error_structure.csv,test_far_error_rate_abs_ge_20_std,2,13,0.15384615384615385,source_missing,A4b-5;A4b-6,A4b 后处理汇总未保存混淆矩阵或逐样本预测，不能稳定派生 far-error。,如论文需要该指标，应扩展 A4b 脚本保存预测或混淆矩阵后重算。
05_modality_and_gate_diagnostics.csv,selected_strategies,6,18,0.3333333333333333,not_applicable,A4c-1-3;A4c-4;A7,该字段只对特定 gate/FiLM/selector 方法存在。,保持空值或在展示时标为 NA。
05_modality_and_gate_diagnostics.csv,val_selection_rate_mean,10,18,0.5555555555555556,not_applicable,A4b-5;A4c-1-3;A4c-4;A7,该字段只对特定 gate/FiLM/selector 方法存在。,保持空值或在展示时标为 NA。
05_modality_and_gate_diagnostics.csv,val_selection_rate_std,10,18,0.5555555555555556,not_applicable,A4b-5;A4c-1-3;A4c-4;A7,该字段只对特定 gate/FiLM/selector 方法存在。,保持空值或在展示时标为 NA。
05_modality_and_gate_diagnostics.csv,test_selection_rate_mean,10,18,0.5555555555555556,not_applicable,A4b-5;A4c-1-3;A4c-4;A7,该字段只对特定 gate/FiLM/selector 方法存在。,保持空值或在展示时标为 NA。
05_modality_and_gate_diagnostics.csv,test_selection_rate_std,10,18,0.5555555555555556,not_applicable,A4b-5;A4c-1-3;A4c-4;A7,该字段只对特定 gate/FiLM/selector 方法存在。,保持空值或在展示时标为 NA。
